Возрастная группа,Показатель (код),Показатель,Ед.,n,q10,q20,q30,q40,q50,q60,q70,q80,q90
12-14,BMXHT,Рост,см,664,149.53,152.8,155.1,156.8,158.4,160.3,161.9,164.04,166.6
12-14,BMXWAIST,Талия,см,647,65.6,68.82000000000001,71.88,74.1,77.2,80.0,84.03999999999999,90.08,97.03999999999999
12-14,BMXWT,Вес,кг,665,42.24,47.18000000000001,50.22,53.2,56.3,60.3,64.4,70.72000000000001,80.96000000000001
12-14,BP_DIA,АД диастолическое,мм рт. ст.,628,52.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,72.0
12-14,BP_SYS,АД систолическое,мм рт. ст.,628,94.0,97.0,100.0,102.0,104.0,106.0,108.0,113.0,116.0
12-14,LBXBAPCT,"Базофилы, %",%,670,0.4,0.4,0.5,0.5,0.6,0.6399999999999977,0.7,0.8,1.0
12-14,LBXEOPCT,"Эозинофилы, %",%,670,0.9,1.2,1.5,1.7,2.1,2.5,3.0,3.7,5.0
12-14,LBXHCT,Гематокрит (Hct),%,670,35.6,36.98,37.8,38.7,39.3,39.84,40.5,41.2,42.3
12-14,LBXHGB,Гемоглобин (Hb),г/дл,670,11.7,12.3,12.6,12.9,13.1,13.4,13.6,13.9,14.3
12-14,LBXLYPCT,"Лимфоциты, %",%,670,24.5,27.9,30.3,32.5,34.55,36.8,39.45999999999999,42.5,46.8
12-14,LBXMC,MCHC (ср. конц. Hb),г/дл,671,32.2,32.6,32.9,33.1,33.4,33.6,33.8,34.1,34.4
12-14,LBXMCHSI,MCH (Hb в эритроците),пг,670,25.6,26.8,27.5,28.0,28.6,29.0,29.4,29.9,30.6
12-14,LBXMCVSI,MCV (ср. объём эритроцита),фл,670,78.3,81.38000000000001,82.9,84.1,85.1,86.4,87.5,88.72000000000001,90.6
12-14,LBXMOPCT,"Моноциты, %",%,670,5.6,6.2,6.7,7.1,7.55,8.1,8.6,9.3,10.4
12-14,LBXMPSI,MPV (ср. объём тромбоцита),фл,670,7.1,7.4,7.6,7.8,8.0,8.2,8.5,8.8,9.2
12-14,LBXNEPCT,"Нейтрофилы, %",%,670,40.89,45.4,48.8,51.8,54.05,56.7,58.8,61.62,66.01
12-14,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,670,212.0,231.0,248.0,263.0,279.0,294.0,311.3,337.0,371.1
12-14,LBXRBCSI,Эритроциты (RBC),×10¹²/л,670,4.22,4.37,4.45,4.53,4.62,4.68,4.78,4.902000000000001,5.04
12-14,LBXRDW,RDW (анизоцитоз),%,670,12.5,12.8,13.0,13.2,13.4,13.7,13.9,14.3,15.1
12-14,LBXSCH,Холестерин общий,мг/дл,651,122.0,132.0,139.0,145.0,151.0,159.0,167.0,176.0,192.0
12-14,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,651,79.0,82.0,84.0,86.0,88.0,90.0,92.0,94.0,98.0
12-14,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,670,4.7,5.3,5.9,6.4,7.0,7.4,8.0,8.6,9.8
15-17,BMXHT,Рост,см,697,152.66,155.72,157.4,159.3,160.8,162.6,164.3,166.48,170.0
15-17,BMXWAIST,Талия,см,680,68.49,71.9,74.4,77.7,80.4,84.0,88.42999999999999,95.28000000000002,107.0
15-17,BMXWT,Вес,кг,697,48.5,52.6,55.9,59.04000000000001,62.5,67.1,71.7,80.22000000000003,94.46
15-17,BP_DIA,АД диастолическое,мм рт. ст.,654,54.0,58.0,60.0,63.0,64.0,66.0,68.0,71.0,75.0
15-17,BP_SYS,АД систолическое,мм рт. ст.,654,95.0,99.0,101.0,103.0,106.0,108.0,110.0,114.0,118.0
15-17,LBXBAPCT,"Базофилы, %",%,702,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.0
15-17,LBXEOPCT,"Эозинофилы, %",%,702,0.7,1.0,1.2,1.5,1.8,2.2,2.6,3.3,5.0
15-17,LBXHCT,Гематокрит (Hct),%,702,34.81,36.6,37.7,38.5,39.3,39.9,40.57,41.4,42.5
15-17,LBXHGB,Гемоглобин (Hb),г/дл,702,11.3,12.1,12.5,12.84,13.1,13.4,13.6,13.9,14.39
15-17,LBXLYPCT,"Лимфоциты, %",%,702,22.7,26.2,28.5,30.4,32.3,34.06,36.0,38.4,42.78999999999999
15-17,LBXMC,MCHC (ср. конц. Hb),г/дл,702,31.9,32.5,32.8,33.1,33.3,33.6,33.8,34.1,34.4
15-17,LBXMCHSI,MCH (Hb в эритроците),пг,702,25.0,26.6,27.7,28.3,28.8,29.3,29.77,30.3,31.0
15-17,LBXMCVSI,MCV (ср. объём эритроцита),фл,702,77.01,81.22,83.5,84.9,86.05,87.2,88.4,89.8,91.58999999999999
15-17,LBXMOPCT,"Моноциты, %",%,702,5.7,6.3,6.7,7.0,7.4,8.0,8.5,9.180000000000007,10.4
15-17,LBXMPSI,MPV (ср. объём тромбоцита),фл,702,7.2,7.5,7.8,7.940000000000004,8.1,8.4,8.6,8.9,9.4
15-17,LBXNEPCT,"Нейтрофилы, %",%,702,44.91,49.5,52.6,54.94,57.2,59.0,61.5,63.8,67.5
15-17,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,702,204.0,228.0,247.3,261.0,273.5,287.0,301.0,321.8000000000001,360.8
15-17,LBXRBCSI,Эритроциты (RBC),×10¹²/л,702,4.17,4.29,4.39,4.49,4.59,4.67,4.74,4.85,4.989
15-17,LBXRDW,RDW (анизоцитоз),%,702,12.5,12.8,13.0,13.2,13.4,13.7,14.0,14.5,15.6
15-17,LBXSCH,Холестерин общий,мг/дл,685,125.0,135.0,142.2,151.0,157.0,163.0,171.0,181.2,196.0
15-17,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,686,78.0,81.0,83.0,85.0,86.0,88.0,90.0,92.0,96.0
15-17,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,702,5.0,5.6,6.1,6.6,7.15,7.7,8.2,8.8,9.7
18-24,BMXHT,Рост,см,1009,153.18,155.9,158.3,160.1,161.6,163.3,165.3,167.4,170.6
18-24,BMXWAIST,Талия,см,980,69.5,73.18,77.2,81.3,85.7,90.4,96.42999999999999,102.84,114.82
18-24,BMXWT,Вес,кг,1010,49.39,54.08000000000001,58.17,62.842,67.1,72.3,79.5,87.7,101.82
18-24,BP_DIA,АД диастолическое,мм рт. ст.,965,55.0,59.0,62.0,64.0,66.0,68.0,70.0,73.0,77.0
18-24,BP_SYS,АД систолическое,мм рт. ст.,965,95.0,99.0,102.0,104.0,106.0,109.0,112.0,115.0,120.0
18-24,LBXBAPCT,"Базофилы, %",%,1031,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1.1
18-24,LBXEOPCT,"Эозинофилы, %",%,1031,0.7,1.0,1.3,1.5,1.8,2.2,2.6,3.3,4.5
18-24,LBXHCT,Гематокрит (Hct),%,1032,35.1,36.82,37.7,38.4,39.2,40.0,40.7,41.4,42.6
18-24,LBXHGB,Гемоглобин (Hb),г/дл,1032,11.6,12.2,12.6,12.8,13.1,13.4,13.6,13.9,14.39
18-24,LBXLYPCT,"Лимфоциты, %",%,1031,21.8,24.7,27.1,29.0,30.6,33.2,35.7,38.3,42.8
18-24,LBXMC,MCHC (ср. конц. Hb),г/дл,1032,32.0,32.6,32.9,33.2,33.4,33.6,33.8,34.0,34.4
18-24,LBXMCHSI,MCH (Hb в эритроците),пг,1032,25.6,27.2,28.0,28.7,29.2,29.6,30.0,30.5,31.1
18-24,LBXMCVSI,MCV (ср. объём эритроцита),фл,1032,78.91000000000001,82.6,84.4,85.84,87.1,88.1,89.1,90.2,92.19
18-24,LBXMOPCT,"Моноциты, %",%,1031,5.3,5.9,6.4,6.9,7.3,7.8,8.4,9.0,10.1
18-24,LBXMPSI,MPV (ср. объём тромбоцита),фл,1032,7.2,7.6,7.830000000000001,8.040000000000003,8.2,8.4,8.7,9.0,9.5
18-24,LBXNEPCT,"Нейтрофилы, %",%,1031,45.5,50.0,53.2,56.2,58.6,60.8,62.9,65.6,68.9
18-24,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,1032,202.0,222.0,239.0,254.4,268.0,283.0,301.0,324.0,356.8
18-24,LBXRBCSI,Эритроциты (RBC),×10¹²/л,1032,4.13,4.26,4.36,4.45,4.54,4.63,4.72,4.82,4.98
18-24,LBXRDW,RDW (анизоцитоз),%,1032,12.5,12.8,13.0,13.2,13.4,13.6,14.0,14.5,15.8
18-24,LBXSCH,Холестерин общий,мг/дл,1014,131.0,141.0,149.0,156.0,164.0,172.0,180.0,192.0,212.0
18-24,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,1017,77.0,80.0,82.0,84.0,86.0,88.0,90.0,92.80000000000007,97.0
18-24,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,1032,5.0,5.8,6.2,6.7,7.2,7.760000000000002,8.4,9.2,10.4
25-34,BMXHT,Рост,см,1558,152.7,155.84,158.2,160.2,161.8,163.7,165.5,167.8,170.63
25-34,BMXWAIST,Талия,см,1494,74.3,78.8,83.4,88.22000000000001,92.3,97.4,103.8,112.2,122.0
25-34,BMXWT,Вес,кг,1557,53.1,58.72000000000001,63.38,68.3,73.3,79.2,85.7,96.3,111.3
25-34,BP_DIA,АД диастолическое,мм рт. ст.,1433,57.0,62.0,64.0,67.0,69.0,72.0,74.0,78.0,84.0
25-34,BP_SYS,АД систолическое,мм рт. ст.,1433,96.0,100.0,104.0,106.0,109.0,112.0,114.0,118.0,124.8
25-34,LBXBAPCT,"Базофилы, %",%,1564,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.1
25-34,LBXEOPCT,"Эозинофилы, %",%,1564,0.7,1.0,1.3,1.5,1.8,2.1,2.5,3.2,4.2
25-34,LBXHCT,Гематокрит (Hct),%,1564,35.1,36.6,37.8,38.52,39.3,39.9,40.7,41.54000000000001,42.6
25-34,LBXHGB,Гемоглобин (Hb),г/дл,1564,11.43,12.2,12.6,12.9,13.1,13.4,13.7,14.0,14.4
25-34,LBXLYPCT,"Лимфоциты, %",%,1564,21.9,25.3,27.4,29.2,31.1,33.3,35.6,38.5,42.67000000000001
25-34,LBXMC,MCHC (ср. конц. Hb),г/дл,1566,32.1,32.7,32.9,33.2,33.4,33.6,33.9,34.2,34.5
25-34,LBXMCHSI,MCH (Hb в эритроците),пг,1564,25.6,27.3,28.3,28.9,29.5,30.1,30.6,31.1,31.8
25-34,LBXMCVSI,MCV (ср. объём эритроцита),фл,1564,79.1,82.6,85.1,86.7,88.1,89.2,90.4,91.9,93.8
25-34,LBXMOPCT,"Моноциты, %",%,1564,5.2,5.8,6.2,6.6,7.0,7.5,8.0,8.7,9.7
25-34,LBXMPSI,MPV (ср. объём тромбоцита),фл,1564,7.2,7.5,7.8,8.0,8.2,8.5,8.7,9.1,9.6
25-34,LBXNEPCT,"Нейтрофилы, %",%,1564,46.43,50.56,53.9,56.2,58.3,60.4,62.8,65.6,69.0
25-34,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,1564,190.0,215.0,232.0,246.2,260.0,275.0,293.0,316.0,351.7
25-34,LBXRBCSI,Эритроциты (RBC),×10¹²/л,1564,4.04,4.2,4.31,4.4,4.49,4.58,4.67,4.79,4.96
25-34,LBXRDW,RDW (анизоцитоз),%,1564,12.5,12.8,13.0,13.1,13.4,13.6,14.0,14.5,15.5
25-34,LBXSCH,Холестерин общий,мг/дл,1543,136.0,148.0,159.0,168.0,175.0,184.0,192.0,204.6000000000001,223.0
25-34,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,1544,78.0,81.0,83.0,85.20000000000005,88.0,90.0,92.0,96.0,102.0
25-34,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,1564,4.9,5.6,6.1,6.6,7.1,7.7,8.4,9.2,10.7
35-44,BMXHT,Рост,см,1570,152.7,155.3,157.8,159.7,161.6,163.3,165.2,167.6,170.5
35-44,BMXWAIST,Талия,см,1501,77.7,83.1,87.7,92.2,96.4,101.5,106.5,113.8,124.2
35-44,BMXWT,Вес,кг,1573,55.62,60.94,66.0,70.9,75.9,82.1,89.33999999999999,99.16000000000001,113.08
35-44,BP_DIA,АД диастолическое,мм рт. ст.,1437,60.59999999999999,65.0,68.0,70.0,74.0,76.0,79.0,82.0,88.0
35-44,BP_SYS,АД систолическое,мм рт. ст.,1437,98.0,102.0,106.0,109.0,112.0,115.0,119.0,125.0,133.4000000000001
35-44,LBXBAPCT,"Базофилы, %",%,1582,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1.0,1.2
35-44,LBXEOPCT,"Эозинофилы, %",%,1582,0.9,1.2,1.4,1.7,2.0,2.4,2.8,3.580000000000018,4.6
35-44,LBXHCT,Гематокрит (Hct),%,1584,34.4,36.4,37.59,38.4,39.15000000000001,39.9,40.6,41.5,42.9
35-44,LBXHGB,Гемоглобин (Hb),г/дл,1584,11.3,12.0,12.5,12.8,13.1,13.4,13.7,14.0,14.4
35-44,LBXLYPCT,"Лимфоциты, %",%,1582,21.51,24.5,26.7,28.54000000000001,30.5,32.45999999999999,34.6,37.3,41.59000000000001
35-44,LBXMC,MCHC (ср. конц. Hb),г/дл,1586,31.95,32.5,32.9,33.1,33.4,33.6,33.8,34.1,34.5
35-44,LBXMCHSI,MCH (Hb в эритроците),пг,1584,24.9,27.0,28.1,28.8,29.4,29.9,30.4,31.0,31.87
35-44,LBXMCVSI,MCV (ср. объём эритроцита),фл,1584,77.53,82.4,84.78999999999999,86.42000000000002,87.8,89.0,90.3,92.0,94.1
35-44,LBXMOPCT,"Моноциты, %",%,1582,5.3,5.8,6.2,6.6,7.0,7.5,8.0,8.6,9.8
35-44,LBXMPSI,MPV (ср. объём тромбоцита),фл,1584,7.1,7.5,7.7,7.9,8.1,8.4,8.6,8.9,9.4
35-44,LBXNEPCT,"Нейтрофилы, %",%,1582,46.7,51.5,54.3,56.8,58.9,61.25999999999999,63.4,65.8,69.4
35-44,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,1584,197.0,220.0,238.0,255.0,270.5,289.0,309.0,331.0,370.0
35-44,LBXRBCSI,Эритроциты (RBC),×10¹²/л,1584,4.033,4.2,4.3,4.38,4.47,4.56,4.66,4.77,4.92
35-44,LBXRDW,RDW (анизоцитоз),%,1584,12.6,12.9,13.1,13.4,13.6,13.9,14.3,14.9,16.2
35-44,LBXSCH,Холестерин общий,мг/дл,1572,146.0,159.0,168.0,177.0,185.0,194.0,202.0,214.0,234.0
35-44,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,1576,80.0,83.0,86.0,88.0,90.0,92.0,95.0,100.0,110.0
35-44,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,1584,4.9,5.6,6.3,6.8,7.3,7.7,8.3,9.1,10.3
45-49,BMXHT,Рост,см,731,151.8,154.4,157.2,159.4,161.2,162.9,164.9,166.6,170.1
45-49,BMXWAIST,Талия,см,702,79.61999999999999,84.84,88.9,93.74000000000001,97.95,103.2,108.94,115.16,123.68
45-49,BMXWT,Вес,кг,729,55.9,62.12,67.94,72.3,76.9,83.08,90.6,99.3,114.02
45-49,BP_DIA,АД диастолическое,мм рт. ст.,693,62.0,66.0,70.0,73.0,76.0,79.0,82.0,86.0,92.0
45-49,BP_SYS,АД систолическое,мм рт. ст.,693,102.0,107.0,110.0,114.0,118.0,122.0,126.0,131.0,141.0
45-49,LBXBAPCT,"Базофилы, %",%,740,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2
45-49,LBXEOPCT,"Эозинофилы, %",%,740,0.8,1.2,1.4,1.7,2.0,2.4,2.9,3.520000000000004,4.5
45-49,LBXHCT,Гематокрит (Hct),%,740,35.0,36.7,37.7,38.8,39.7,40.2,41.0,42.1,43.4
45-49,LBXHGB,Гемоглобин (Hb),г/дл,740,11.3,12.1,12.5,12.9,13.2,13.5,13.8,14.1,14.7
45-49,LBXLYPCT,"Лимфоциты, %",%,740,21.69,24.3,26.97,29.16,30.9,32.8,35.5,38.8,42.71000000000001
45-49,LBXMC,MCHC (ср. конц. Hb),г/дл,741,31.9,32.4,32.8,33.1,33.4,33.6,33.8,34.1,34.4
45-49,LBXMCHSI,MCH (Hb в эритроците),пг,740,24.79,27.08,28.0,28.8,29.5,30.1,30.6,31.02,31.9
45-49,LBXMCVSI,MCV (ср. объём эритроцита),фл,740,77.88000000000001,82.48,84.87,86.3,87.7,89.3,90.6,92.2,94.4
45-49,LBXMOPCT,"Моноциты, %",%,740,5.2,6.0,6.5,6.8,7.2,7.7,8.2,9.1,10.1
45-49,LBXMPSI,MPV (ср. объём тромбоцита),фл,740,7.1,7.5,7.7,7.9,8.1,8.4,8.7,8.9,9.4
45-49,LBXNEPCT,"Нейтрофилы, %",%,740,45.68000000000001,50.3,53.47,56.26000000000001,58.4,60.5,62.9,65.2,69.2
45-49,LBXPLTSI,Тромбоциты (PLT),×10⁹/л,740,195.0,219.0,235.7,252.6,269.0,285.4,306.0,326.0,357.1
45-49,LBXRBCSI,Эритроциты (RBC),×10¹²/л,740,4.079,4.24,4.34,4.43,4.51,4.6,4.71,4.82,4.98
45-49,LBXRDW,RDW (анизоцитоз),%,740,12.7,13.0,13.2,13.4,13.7,14.1,14.6,15.3,16.5
45-49,LBXSCH,Холестерин общий,мг/дл,725,156.0,169.0,180.0,189.0,197.0,206.0,215.0,226.0,246.0
45-49,LBXSGL,Глюкоза (натощак/сывор.),мг/дл,726,81.5,85.0,87.0,90.0,93.0,95.0,99.0,105.0,123.0
45-49,LBXWBCSI,Лейкоциты (WBC),×10⁹/л,740,4.890000000000001,5.5,6.0,6.5,7.1,7.6,8.2,9.1,10.3
